algorithm,ARI,AMI,Purity,SS,CHS,DBS
PCA,0.438,0.715,0.766,0.086,1937.573,2.765
ICA,0.446,0.71,0.753,0.081,1872.313,3.033
Isomap,0.607,0.81,0.865,0.17,2452.905,2.359
ACeDeC,0.586,0.806,0.878,0.19,2811.504,2.383
AEC,0.196,0.445,0.488,-0.027,757.366,9.655
DCN,0.578,0.797,0.723,0.101,1874.234,3.401
DDC,0.739,0.845,0.749,0.28,3809.325,1.298
DEC,0.705,0.716,0.682,0.13,1688.313,5.642
DKM,0.492,0.727,0.75,0.13,2167.347,2.952
DeepECT,0.414,0.665,0.723,0.072,2081.063,3.103
DipDECK,0.507,0.751,0.779,0.117,2268.812,2.788
DipEncoder,0.429,0.704,0.714,0.069,1877.737,2.872
IDEC,0.567,0.717,0.712,0.116,1797.491,5.493
N2D,0.485,0.763,0.797,0.145,2387.816,2.672
VaDE,0.919,0.91,0.884,0.183,1982.449,2.2
