Algorithm,ARI,AMI,Purity,SS,CHS,DBS
PCA,0.717,0.852,0.895,0.246,3178.532,1.515
ICA,0.706,0.84,0.888,0.235,2997.716,1.563
Isomap,0.8,0.925,0.97,0.298,4042.436,1.309
LLE,0.676,0.894,0.835,0.262,2479.791,1.043
t-SNE,0.807,0.94,0.976,0.297,4069.639,1.302
DM,0.909,0.946,0.893,0.227,1114.367,1.844
ACeDeC,0.799,0.932,0.974,0.287,3987.26,1.365
AEC,0.317,0.545,0.592,0.061,1632.916,3.434
DCN,0.879,0.942,0.953,0.297,3479.012,2.51
DDC,0.949,0.959,0.95,0.34,4057.975,1.123
DEC,0.93,0.961,0.953,0.33,3782.338,1.122
DKM,0.724,0.888,0.927,0.275,3564.708,1.446
DeepECT,0.442,0.695,0.845,0.056,1457.001,3.623
DipDECK,0.67,0.833,0.826,0.22,2749.833,2.09
DipEncoder,0.873,0.899,0.924,0.27,3350.916,2.343
IDEC,0.93,0.961,0.953,0.33,3780.367,1.12
N2D,0.762,0.908,0.949,0.27,3688.304,1.63
VaDE,0.859,0.923,0.932,0.32,3796.815,1.284
